Timestamp,Plate_Number,Access_Status
2025-11-10 16:13:13,HR26D05551,DENIED
2025-11-10 16:13:13,HR26DO5551,DENIED
2025-11-10 16:13:13,MGS,DENIED
2025-11-10 16:13:13,HK7G0055,DENIED
2025-11-10 16:13:13,HR/GD055,DENIED
2025-11-10 16:13:13,HR26DO555V,DENIED
2025-11-10 16:13:14,HR26DO555_,DENIED
2025-11-10 16:13:14,HR26DO555_,DENIED
2025-11-10 16:13:14,HR26DO555_,DENIED
2025-11-10 16:13:14,'HR26D0555_,DENIED
2025-11-10 16:13:14,HR26DO555_,DENIED
2025-11-10 16:13:14,HR26DO555U,DENIED
2025-11-10 16:13:14,"(""HR26DO555U",DENIED
2025-11-10 16:13:14,HR26DO555U,DENIED
2025-11-10 16:13:14,~HR26DO555],DENIED
2025-11-10 16:13:15,"K""HR26DO555U",DENIED
2025-11-10 16:13:15,~HR26DO555U,DENIED
2025-11-10 16:13:15,HR26DO555U,DENIED
2025-11-10 16:13:15,HR26DO555/,DENIED
2025-11-10 16:13:15,~HR26DO555],DENIED
2025-11-10 16:13:15,~HR26D0555],DENIED
2025-11-10 16:13:15,"(""HR26DO555J",DENIED
2025-11-10 16:13:15,"K""HR26DO555U",DENIED
2025-11-10 16:13:15,KHR26DO555U,DENIED
2025-11-10 16:13:16,"EU""HR26DO555U",DENIED
2025-11-10 16:13:16,MHR26DO5551,DENIED
2025-11-10 16:13:16,"(""HR26DO55SU",DENIED
2025-11-10 16:13:16,"(""HR26DO555U",DENIED
2025-11-10 16:13:16,HR26DO555U,DENIED
2025-11-10 16:13:16,"(""HR26DO5S5/",DENIED
2025-11-10 16:13:16,"(""HR26DO5S51",DENIED
2025-11-10 16:13:16,UNDHR26DO55SU,DENIED
2025-11-10 16:13:16,(~HR26DO555U,DENIED
2025-11-10 16:13:17,"(""HR26DO555U",DENIED
2025-11-10 16:13:17,UNDHR26D0555U,DENIED
2025-11-10 16:13:17,INDHR26D0555U,DENIED
2025-11-10 16:13:17,~HR26DO555U,DENIED
2025-11-10 16:13:17,LNDHR26DO555U,DENIED
2025-11-10 16:13:17,MHR26D05551,DENIED
2025-11-10 16:13:17,UNDHR26DO555U,DENIED
2025-11-10 16:13:17,MHR26DO5551,DENIED
2025-11-10 16:13:17,NDHR26DO555U,DENIED
2025-11-10 16:13:18,~~HR26DO555,DENIED
2025-11-10 16:13:18,INDHR26DO55S,DENIED
2025-11-10 16:13:18,GDOSSSDENIEDUNDHR26DO555U,DENIED
2025-11-10 16:13:18,WNDHR26DO55SI,DENIED
2025-11-10 16:13:18,"26D055S1DENIEDTE9(""HR26D0555]",DENIED
2025-11-10 16:13:18,JNDHR26DO5551,DENIED
2025-11-10 16:13:18,JNDHR26DO555U,DENIED
2025-11-10 16:13:18,JNDHR26DO555U,DENIED
2025-11-10 16:13:19,"28D0555UDENIED(""HR26DO555U",DENIED
2025-11-10 16:13:19,IN0HR26DO555U,DENIED
2025-11-10 16:13:19,"""HR26DO555U",DENIED
2025-11-10 16:13:19,INDHR26DO55SU,DENIED
2025-11-10 16:13:19,"26DOSSSUDENIED(""HR26DO555U",DENIED
2025-11-10 16:13:19,NDHR26DO555U,DENIED
2025-11-10 16:13:19,26DO555UDENIEDNDHR26DO555U,DENIED
2025-11-10 16:13:19,INDHR26DO5554,DENIED
2025-11-10 16:13:19,"26005554DENIED(""HR26DO555/",DENIED
2025-11-10 16:13:20,WNDHR26DO555U,DENIED
2025-11-10 16:13:20,~HR26DO555J,DENIED
2025-11-10 16:13:20,WNDHR26DO55S,DENIED
2025-11-10 16:13:20,R28D055SDENIEDANDHR26DO555U,DENIED
2025-11-10 16:13:20,TDHR26DO555],DENIED
2025-11-10 16:13:20,80O555]DENIEDUNDHR26DO555],DENIED
2025-11-10 16:13:20,~HR26DO5SS],DENIED
2025-11-10 16:13:20,"(""HR26DO555U",DENIED
2025-11-10 16:13:21,HR26DOEE,DENIED
2025-11-10 16:13:21,HRZ6DEES,DENIED
2025-11-10 16:13:22,MWMAA,DENIED
